2016,Up/down,2015,2014,2013,Name,Nationality,Club at Dec 20 2016,Domestic league,Age at 20 Dec 2016,RAW TOTAL,HIGHEST SCORE REMOVED,FINAL SCORE,VOTES CAST,No1 PICK,JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,JUDGES' NUMBERS ARE ALLOCATED AT RANDOM AND BEAR NO RELATION TO THE ALPHABETICAL LIST OF JUDGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CLICK HERE FOR FULL LIST OF JUDGES AND RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18,46,,,Philippe Coutinho,Brazil,Liverpool,England,24,1541,34,1507,85,0,27,33,7,30,21,34,,19,26,21,,19,16,16,16,,,24,13,,29,,9,29,21,8,,,10,34,,,3,8,9,,,9,9,23,25,11,34,15,8,19,,10,,,23,,,2,,24,,8,22,,19,29,13,13,19,34,,,,28,7,19,,8,,5,,26,,,2,33,,30,21,6,23,,24,1,13,21,,,6,27,23,17,22,16,31,15,10,,18,11,18,,32,,9,21,,12,16,10,,,8,,25,14,31,31
29,-11,18,55,,David De Gea,Spain,Manchester United,England,27,1203,34,1169,69,0,,23,12,26,31,17,,24,,18,,,21,,24,10,,,21,,,,,13,24,,25,,9,,,,7,,19,,,17,,12,12,,,,6,26,,12,1,15,,3,,5,,23,28,,,,17,4,16,,,23,16,,,,21,,23,21,34,30,,12,9,26,24,,24,16,3,29,7,15,10,,33,13,25,,17,,,23,16,,,,,28,,33,,5,18,3,,,21,2,,15,,4,20,15,28,,,20
30,New,212=,,,Pepe,Portugal,Real Madrid,Spain,33,1090,36,1054,50,0,33,30,,,,,,,32,,26,,23,,,28,36,35,,,,,,,22,,,19,17,,,,,2,5,7,,25,32,,29,,,,,,,,5,33,31,,32,,27,,19,22,,23,,,,,,,19,,,19,,,25,,,,35,13,,,8,23,,23,,,,,31,,,,36,16,35,20,,,32,,26,12,,,33,,,,13,8,,,,6,,17,13,15,6,,,13,,
31,-25,6,5,25,Thomas Müller,Germany,Bayern Munich,Germany,28,1074,34,1040,58,0,,,32,,17,23,21,,,26,14,9,6,,,,,,,23,7,26,,,,20,,,,18,,,,14,27,18,23,6,1,,,,,34,4,30,11,,25,,,,7,14,31,3,25,,18,,27,14,22,,,,24,19,,,,33,,25,,11,20,,,,,6,16,,23,,17,25,,,,,,,,,18,25,23,28,32,20,,,,26,,,,18,6,,9,11,,,4,,,,32,,7,
32,-17,15,33,26,Arturo Vidal,Chile,Bayern Munich,Germany,30,1057,37,1020,60,0,,,,,11,,,7,28,,10,22,,,,,,,,,,37,,,28,,6,35,,21,,,8,,,28,22,,20,,32,,6,,36,,26,3,,,,11,9,4,32,,7,,13,,6,,3,,,,8,32,,22,,13,,,28,,2,,,,,21,5,,28,3,30,,,,,20,31,22,4,17,,18,14,,24,29,,,,7,29,36,,12,27,,,,,6,10,17,4,19,,11,5,32
33,5,38,,,Harry Kane,England,Tottenham Hotspur,England,23,1029,30,999,70,0,16,16,24,24,,7,,20,2,1,,20,,8,13,17,26,5,2,16,24,,,,,14,,,16,,,18,,10,4,,10,,,19,,16,29,,,18,,28,13,7,,,,11,,15,,,11,21,14,5,7,15,,,,,16,,13,,7,17,,,25,,5,16,,26,,4,,23,12,8,,5,16,,,28,5,9,29,,,,,,,6,10,21,30,28,16,,20,7,16,,15,,,14,,12,19,9,,
34,-14,20,49,,Ivan Rakitić ,Croatia,Barcelona,Spain,29,1012,34,978,62,0,,,,,34,,12,,,9,,,8,29,30,,32,,,,,,,10,12,,26,,18,7,14,11,13,,,12,,15,23,,8,12,19,,,7,23,18,,20,5,21,,,8,5,11,5,,,31,19,,,26,,15,,,,14,7,22,,,,30,23,31,,,,,,,5,10,7,,,,,,10,,,,16,17,15,17,13,33,33,,8,,14,12,6,,,,,,,7,,,26,22,3,16,27
35,-22,13,16,100,Eden Hazard,Belgium,Chelsea,England,26,985,37,948,60,0,,,30,,30,3,7,,12,6,6,34,,13,10,,,,18,,4,,10,,,,,,,19,,,,,14,,,,,,,,,,29,22,,19,,29,14,,,,,,3,12,,15,,32,32,27,,37,1,23,,,18,23,,,14,9,1,,10,13,12,,,35,30,,,,,,,4,,,7,25,9,19,3,26,25,,,,4,,10,,29,4,,,,,26,5,18,5,16,28,,17,24,5
36,9,45,57,,Jérôme Boateng,Germany,Bayern Munich,Germany,29,862,34,828,53,0,14,31,,,,,23,,,8,1,,19,12,,,19,15,,,5,4,,31,,,8,,,,,,10,20,,5,,24,15,,,,13,14,13,6,,,19,,24,,12,,11,31,22,7,2,,8,,11,32,,,26,,11,,20,,,30,,,,,21,,34,,,,,,,17,,,,29,18,,,,,4,7,,,,,20,21,,,,,,,,,25,,12,25,23,22,1,7,,,
37,New,118,,,Paulo Dybala,Argentina,Juventus,Italy,23,799,34,765,54,0,12,3,,2,,,6,,,,23,1,2,30,,,,13,29,,18,,7,,,,,20,6,33,,,4,,,20,34,,6,14,10,,9,17,,,,,22,9,8,,,,14,,,,,20,,,21,25,,,,5,,,,,13,,7,,,,,2,,10,,,,19,,12,,21,32,,,21,11,14,,,,33,,,31,,,,,,,9,28,,10,,25,,9,,14,,5,8,11,11
